tunecache	1.1.0	1.1.0-e23cd7e4f-sm_86	cpu_arch=x86_64,gpu_arch=sm_86,cuda_version=12.2.140	# Last updated Tue Dec 23 14:17:31 2025

          volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	aux.x	aux.y	aux.z	aux.w	time	comment
         4x8x8x8	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIdLi3ELi4EL21QudaReconstructType_s8ELb0EEEEE	policy_kernel=interior,GPU-offline,vol=2048,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=1,n_rhs_tile=1,comm=0000	32	1	1	64	1	1	8449	-1	-1	-1	-1	9.16946e-05	# 42.88 Gflop/s, 55.75 GB/s, tuning took 0.088310 seconds at Mon Dec 22 16:54:05 2025
         4x8x8x8	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIsLi3ELi4EL21QudaReconstructType_s8ELb0EEEEE	policy,GPU-offline,vol=2048,parity=1,precision=2,order=8,Ns=4,Nc=3,commDim=0000,n_rhs=1,n_rhs_tile=1,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=110000000000000000	32	1	1	1	1	1	0	1	0	0	-1	7.04099e-06	# 544.51 Gflop/s, 190.81 GB/s, tuning took 0.001937 seconds at Sun Dec 21 15:21:30 2025
         4x8x8x8	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIsLi3ELi4EL21QudaReconstructType_s8ELb0EEEEE	policy,GPU-offline,vol=2048,parity=1,precision=2,order=8,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=1,n_rhs_tile=1,topo=1111,p2p=0,gdr=0,nvshmem=0,pol=110000000000000000	32	1	1	1	1	1	0	1	0	0	-1	7.41776e-06	# 530.10 Gflop/s, 181.12 GB/s, tuning took 0.001941 seconds at Sun Dec 21 15:21:30 2025
         4x8x8x8	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIsLi3ELi4EL21QudaReconstructType_s8ELb0EEEEE	policy_kernel=interior,GPU-offline,vol=2048,parity=1,precision=2,order=8,Ns=4,Nc=3,commDim=0000,n_rhs=1,n_rhs_tile=1,comm=0000	80	1	1	26	1	1	6337	-1	-1	-1	-1	7.04655e-06	# 544.08 Gflop/s, 190.66 GB/s, tuning took 0.090870 seconds at Sun Dec 21 15:21:30 2025
         4x8x8x8	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIsLi3ELi4EL21QudaReconstructType_s8ELb0EEEEE	policy_kernel=interior,GPU-offline,vol=2048,parity=1,precision=2,order=8,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=1,n_rhs_tile=1,comm=0000	80	1	1	26	1	1	16897	-1	-1	-1	-1	7.41789e-06	# 530.09 Gflop/s, 181.12 GB/s, tuning took 0.020929 seconds at Sun Dec 21 15:21:30 2025
         4x8x8x8	N4quda4blas10CdotNormABIddEE	GPU-offline,vol=2048,parity=1,precision=8,order=2,Ns=4,Nc=3,n_rhs=1	64	1	1	55	1	1	0	-1	-1	-1	-1	1.10688e-05	# 35.52 Gflop/s, 71.05 GB/s, tuning took 0.033155 seconds at Mon Dec 22 16:54:05 2025
         4x8x8x8	N4quda4blas10CdotNormABIdfEE	GPU-offline,vol=2048,parity=1,precision=2,order=8,Ns=4,Nc=3,n_rhs=1	32	1	1	37	1	1	0	-1	-1	-1	-1	1.25043e-05	# 31.45 Gflop/s, 17.03 GB/s, tuning took 0.043314 seconds at Sun Dec 21 15:21:30 2025
         4x8x8x8	N4quda4blas10caxpyNorm2IddEE	GPU-offline,vol=2048,parity=1,precision=8,order=2,Ns=4,Nc=3,n_rhs=1	128	1	1	55	1	1	0	-1	-1	-1	-1	1.03581e-05	# 37.96 Gflop/s, 113.89 GB/s, tuning took 0.030336 seconds at Sun Dec 21 15:21:30 2025
         4x8x8x8	N4quda4blas31caxpbypzYmbwcDotProductUYNormY_IddEE	GPU-offline,vol=2048,parity=1,precision=2,order=8,Ns=4,Nc=3,vol=2048,parity=1,precision=8,order=2,Ns=4,Nc=3,n_rhs=1	32	1	1	36	1	1	0	-1	-1	-1	-1	2.1705e-05	# 40.76 Gflop/s, 60.77 GB/s, tuning took 0.041083 seconds at Sun Dec 21 15:21:30 2025
         4x8x8x8	N4quda4blas31caxpbypzYmbwcDotProductUYNormY_IddEE	GPU-offline,vol=2048,parity=1,precision=8,order=2,Ns=4,Nc=3,n_rhs=1	128	1	1	28	1	1	0	-1	-1	-1	-1	1.36627e-05	# 64.76 Gflop/s, 201.46 GB/s, tuning took 0.039675 seconds at Mon Dec 22 16:54:05 2025
         4x8x8x8	N4quda4blas4CdotIddEE	GPU-offline,vol=2048,parity=1,precision=8,order=2,Ns=4,Nc=3,n_rhs=1	64	1	1	55	1	1	0	-1	-1	-1	-1	9.91314e-06	# 19.83 Gflop/s, 79.33 GB/s, tuning took 0.028301 seconds at Mon Dec 22 16:54:05 2025
         4x8x8x8	N4quda4blas4CdotIdfEE	GPU-offline,vol=2048,parity=1,precision=2,order=8,Ns=4,Nc=3,n_rhs=1	32	1	1	38	1	1	0	-1	-1	-1	-1	1.12079e-05	# 17.54 Gflop/s, 19.00 GB/s, tuning took 0.035128 seconds at Sun Dec 21 15:21:30 2025
         4x8x8x8	N4quda4blas5Norm2IddEE	GPU-offline,vol=2048,parity=1,precision=8,order=2,Ns=4,Nc=3,n_rhs=1	128	1	1	56	1	1	0	-1	-1	-1	-1	8.07597e-06	# 12.17 Gflop/s, 48.69 GB/s, tuning took 0.024574 seconds at Sun Dec 21 15:21:29 2025
